emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
21,24,21,28,39,27,32,24
21,24,22,29,42,28,30,27
20,24,22,30,36,28,31,22
21,24,20,31,34,27,28,23
22,25,21,34,37,23,28,25
20,26,20,35,34,22,25,24
20,26,20,36,35,25,24,20
20,27,21,36,37,26,23,20
18,27,24,35,37,27,24,21
19,26,24,34,36,29,24,21
20,24,28,34,37,29,23,20
21,26,27,31,34,27,24,22
21,23,26,28,37,26,25,23
20,26,25,37,40,30,23,23
24,25,24,36,38,30,22,23
24,27,19,35,41,33,23,24
23,23,19,35,41,31,22,22
24,24,19,36,38,32,20,21
25,23,18,28,34,30,24,22
21,23,20,26,35,29,23,22
22,23,19,26,32,26,25,21
23,23,19,27,36,28,25,23
22,23,19,30,36,27,25,24
23,21,20,28,36,26,22,23
22,27,23,29,37,25,24,22
20,25,23,30,36,25,22,22
18,25,23,32,34,23,24,19
20,27,25,30,38,24,25,19
18,27,25,29,42,22,27,18
18,25,21,29,41,28,25,23
19,28,23,27,40,29,26,24
20,29,25,26,38,28,26,24
20,27,24,22,41,28,26,25
20,28,25,21,36,30,24,25
22,26,26,24,43,28,29,24
21,27,27,26,63,45,31,24
22,25,28,30,70,61,37,26
27,26,28,36,71,64,48,30
28,26,29,38,73,67,49,30
45,27,39,40,88,91,54,52
59,32,48,44,94,110,64,66
61,41,50,51,122,128,74,70
62,41,55,55,135,149,82,74
84,42,60,78,194,196,103,97
149,62,88,108,254,265,143,134
183,73,97,137,311,290,155,183
23,20,29,32,49,28,22,21
23,19,29,33,47,27,25,22
20,21,26,34,46,30,26,23
23,22,23,33,42,28,26,23
20,21,23,31,38,25,26,21
22,23,21,28,35,25,25,20
21,23,21,27,36,28,23,20
21,23,22,28,35,24,21,20
21,23,23,27,34,25,24,21
23,24,26,28,31,28,23,22
22,21,25,28,31,28,20,23
21,21,22,27,31,26,22,25
21,20,23,25,32,28,25,24
20,20,24,27,36,27,26,22
18,17,21,27,36,25,26,23
20,18,24,25,38,25,28,22
22,23,25,28,37,28,27,21
22,24,24,26,41,29,25,22
23,24,24,25,40,31,23,21
25,25,29,25,41,30,23,23
24,25,28,28,46,30,24,23
22,21,27,27,49,29,25,23
22,24,27,29,44,25,26,22
25,24,26,31,42,25,26,23
23,23,19,33,45,25,26,20
22,24,19,31,38,26,26,22
25,25,19,33,35,23,28,21
25,21,18,30,35,23,27,22
21,23,18,29,37,24,28,25
20,24,21,23,35,23,32,25
19,24,23,26,42,21,30,23
19,24,25,24,43,21,28,24
19,25,25,26,42,29,28,23
20,25,26,29,45,28,27,21
22,23,26,30,43,28,22,22
22,23,26,28,35,29,24,23
21,22,25,30,38,29,24,24
20,21,25,28,42,24,23,24
19,18,25,27,37,21,23,23
17,22,23,25,40,24,22,21
16,21,22,32,39,24,22,21
16,22,23,31,39,26,20,21
15,24,24,32,41,27,20,21
16,27,25,34,42,29,19,21
19,28,24,33,42,27,20,22
19,28,24,30,43,27,19,25
19,28,22,31,42,26,20,24
22,26,24,31,37,23,22,24
21,23,22,29,35,21,24,28
19,19,25,32,32,23,24,27
21,24,25,31,30,28,23,25
23,23,25,27,29,27,22,24
22,27,24,28,38,30,22,23
24,27,27,33,38,30,22,19
23,29,25,31,38,29,24,20
23,27,24,32,44,24,25,25
23,27,24,33,43,26,29,24
21,23,23,34,38,26,29,23
21,24,21,28,39,27,32,24
21,24,22,29,42,28,30,27
20,24,22,30,36,28,31,22
21,24,20,31,34,27,28,23
22,25,21,34,37,23,28,25
20,26,20,35,34,22,25,24
20,26,20,36,35,25,24,20
20,27,21,36,37,26,23,20
18,27,24,35,37,27,24,21
19,26,24,34,36,29,24,21
20,24,28,34,37,29,23,20
21,26,27,31,34,27,24,22
21,23,26,28,37,26,25,23
20,26,25,37,40,30,23,23
24,25,24,36,38,30,22,23
24,27,19,35,41,33,23,24
23,23,19,35,41,31,22,22
24,24,19,36,38,32,20,21
25,23,18,28,34,30,24,22
21,23,20,26,35,29,23,22
22,23,19,26,32,26,25,21
23,23,19,27,36,28,25,23
22,23,19,30,36,27,25,24
23,21,20,28,36,26,22,23
22,27,23,29,37,25,24,22
20,25,23,30,36,25,22,22
18,25,23,32,34,23,24,19
20,27,25,30,38,24,25,19
18,27,25,29,42,22,27,18
18,25,21,29,41,28,25,23
19,28,23,27,40,29,26,24
20,29,25,26,38,28,26,24
20,27,24,22,41,28,26,25
20,28,25,21,36,30,24,25
22,26,26,24,43,28,29,24
21,27,27,26,63,45,31,24
22,25,28,30,70,61,37,26
27,26,28,36,71,64,48,30
28,26,29,38,73,67,49,30
45,27,39,40,88,91,54,52
59,32,48,44,94,110,64,66
61,41,50,51,122,128,74,70
62,41,55,55,135,149,82,74
84,42,60,78,194,196,103,97
149,62,88,108,254,265,143,134
183,73,97,137,311,290,155,183
23,20,29,32,49,28,22,21
23,19,29,33,47,27,25,22
20,21,26,34,46,30,26,23
23,22,23,33,42,28,26,23
20,21,23,31,38,25,26,21
22,23,21,28,35,25,25,20
21,23,21,27,36,28,23,20
21,23,22,28,35,24,21,20
21,23,23,27,34,25,24,21
23,24,26,28,31,28,23,22
22,21,25,28,31,28,20,23
21,21,22,27,31,26,22,25
21,20,23,25,32,28,25,24
20,20,24,27,36,27,26,22
18,17,21,27,36,25,26,23
20,18,24,25,38,25,28,22
22,23,25,28,37,28,27,21
22,24,24,26,41,29,25,22
23,24,24,25,40,31,23,21
25,25,29,25,41,30,23,23
24,25,28,28,46,30,24,23
22,21,27,27,49,29,25,23
22,24,27,29,44,25,26,22
25,24,26,31,42,25,26,23
23,23,19,33,45,25,26,20
22,24,19,31,38,26,26,22
25,25,19,33,35,23,28,21
25,21,18,30,35,23,27,22
21,23,18,29,37,24,28,25
20,24,21,23,35,23,32,25
19,24,23,26,42,21,30,23
19,24,25,24,43,21,28,24
19,25,25,26,42,29,28,23
20,25,26,29,45,28,27,21
22,23,26,30,43,28,22,22
22,23,26,28,35,29,24,23
21,22,25,30,38,29,24,24
20,21,25,28,42,24,23,24
19,18,25,27,37,21,23,23
17,22,23,25,40,24,22,21
16,21,22,32,39,24,22,21
16,22,23,31,39,26,20,21
15,24,24,32,41,27,20,21
16,27,25,34,42,29,19,21
19,28,24,33,42,27,20,22
19,28,24,30,43,27,19,25
19,28,22,31,42,26,20,24
22,26,24,31,37,23,22,24
21,23,22,29,35,21,24,28
19,19,25,32,32,23,24,27
21,24,25,31,30,28,23,25
23,23,25,27,29,27,22,24
22,27,24,28,38,30,22,23
24,27,27,33,38,30,22,19
23,29,25,31,38,29,24,20
23,27,24,32,44,24,25,25
23,27,24,33,43,26,29,24
21,23,23,34,38,26,29,23
21,24,21,28,39,27,32,24
21,24,22,29,42,28,30,27
20,24,22,30,36,28,31,22
21,24,20,31,34,27,28,23
22,25,21,34,37,23,28,25
20,26,20,35,34,22,25,24
20,26,20,36,35,25,24,20
20,27,21,36,37,26,23,20
18,27,24,35,37,27,24,21
19,26,24,34,36,29,24,21
20,24,28,34,37,29,23,20
21,26,27,31,34,27,24,22
21,23,26,28,37,26,25,23
20,26,25,37,40,30,23,23
24,25,24,36,38,30,22,23
24,27,19,35,41,33,23,24
23,23,19,35,41,31,22,22
24,24,19,36,38,32,20,21
25,23,18,28,34,30,24,22
21,23,20,26,35,29,23,22
22,23,19,26,32,26,25,21
23,23,19,27,36,28,25,23
22,23,19,30,36,27,25,24
23,21,20,28,36,26,22,23
22,27,23,29,37,25,24,22
20,25,23,30,36,25,22,22
18,25,23,32,34,23,24,19
20,27,25,30,38,24,25,19
18,27,25,29,42,22,27,18
18,25,21,29,41,28,25,23
19,28,23,27,40,29,26,24
20,29,25,26,38,28,26,24
20,27,24,22,41,28,26,25
20,28,25,21,36,30,24,25
22,26,26,24,43,28,29,24
21,27,27,26,63,45,31,24
22,25,28,30,70,61,37,26
27,26,28,36,71,64,48,30
28,26,29,38,73,67,49,30
45,27,39,40,88,91,54,52
59,32,48,44,94,110,64,66
61,41,50,51,122,128,74,70
62,41,55,55,135,149,82,74
84,42,60,78,194,196,103,97
149,62,88,108,254,265,143,134
183,73,97,137,311,290,155,183
193,73,105,139,326,424,179,187
23,20,29,32,49,28,22,21
23,19,29,33,47,27,25,22
20,21,26,34,46,30,26,23
23,22,23,33,42,28,26,23
20,21,23,31,38,25,26,21
22,23,21,28,35,25,25,20
21,23,21,27,36,28,23,20
21,23,22,28,35,24,21,20
21,23,23,27,34,25,24,21
23,24,26,28,31,28,23,22
22,21,25,28,31,28,20,23
21,21,22,27,31,26,22,25
21,20,23,25,32,28,25,24
20,20,24,27,36,27,26,22
18,17,21,27,36,25,26,23
20,18,24,25,38,25,28,22
22,23,25,28,37,28,27,21
22,24,24,26,41,29,25,22
23,24,24,25,40,31,23,21
25,25,29,25,41,30,23,23
24,25,28,28,46,30,24,23
22,21,27,27,49,29,25,23
22,24,27,29,44,25,26,22
25,24,26,31,42,25,26,23
23,23,19,33,45,25,26,20
22,24,19,31,38,26,26,22
25,25,19,33,35,23,28,21
25,21,18,30,35,23,27,22
21,23,18,29,37,24,28,25
20,24,21,23,35,23,32,25
19,24,23,26,42,21,30,23
19,24,25,24,43,21,28,24
19,25,25,26,42,29,28,23
20,25,26,29,45,28,27,21
22,23,26,30,43,28,22,22
22,23,26,28,35,29,24,23
21,22,25,30,38,29,24,24
20,21,25,28,42,24,23,24
19,18,25,27,37,21,23,23
17,22,23,25,40,24,22,21
16,21,22,32,39,24,22,21
16,22,23,31,39,26,20,21
15,24,24,32,41,27,20,21
16,27,25,34,42,29,19,21
19,28,24,33,42,27,20,22
19,28,24,30,43,27,19,25
19,28,22,31,42,26,20,24
22,26,24,31,37,23,22,24
21,23,22,29,35,21,24,28
19,19,25,32,32,23,24,27
21,24,25,31,30,28,23,25
23,23,25,27,29,27,22,24
22,27,24,28,38,30,22,23
24,27,27,33,38,30,22,19
23,29,25,31,38,29,24,20
23,27,24,32,44,24,25,25
23,27,24,33,43,26,29,24
21,23,23,34,38,26,29,23
21,24,21,28,39,27,32,24
21,24,22,29,42,28,30,27
20,24,22,30,36,28,31,22
21,24,20,31,34,27,28,23
22,25,21,34,37,23,28,25
20,26,20,35,34,22,25,24
20,26,20,36,35,25,24,20
20,27,21,36,37,26,23,20
18,27,24,35,37,27,24,21
19,26,24,34,36,29,24,21
20,24,28,34,37,29,23,20
21,26,27,31,34,27,24,22
21,23,26,28,37,26,25,23
20,26,25,37,40,30,23,23
24,25,24,36,38,30,22,23
24,27,19,35,41,33,23,24
23,23,19,35,41,31,22,22
24,24,19,36,38,32,20,21
25,23,18,28,34,30,24,22
21,23,20,26,35,29,23,22
22,23,19,26,32,26,25,21
23,23,19,27,36,28,25,23
22,23,19,30,36,27,25,24
23,21,20,28,36,26,22,23
22,27,23,29,37,25,24,22
20,25,23,30,36,25,22,22
18,25,23,32,34,23,24,19
20,27,25,30,38,24,25,19
18,27,25,29,42,22,27,18
18,25,21,29,41,28,25,23
19,28,23,27,40,29,26,24
20,29,25,26,38,28,26,24
20,27,24,22,41,28,26,25
20,28,25,21,36,30,24,25
22,26,26,24,43,28,29,24
21,27,27,26,63,45,31,24
22,25,28,30,70,61,37,26
27,26,28,36,71,64,48,30
28,26,29,38,73,67,49,30
45,27,39,40,88,91,54,52
59,32,48,44,94,110,64,66
61,41,50,51,122,128,74,70
62,41,55,55,135,149,82,74
84,42,60,78,194,196,103,97
149,62,88,108,254,265,143,134
183,73,97,137,311,290,155,183
193,73,105,139,326,424,179,187
23,20,29,32,49,28,22,21
23,19,29,33,47,27,25,22
20,21,26,34,46,30,26,23
23,22,23,33,42,28,26,23
20,21,23,31,38,25,26,21
22,23,21,28,35,25,25,20
21,23,21,27,36,28,23,20
21,23,22,28,35,24,21,20
21,23,23,27,34,25,24,21
23,24,26,28,31,28,23,22
22,21,25,28,31,28,20,23
21,21,22,27,31,26,22,25
21,20,23,25,32,28,25,24
20,20,24,27,36,27,26,22
18,17,21,27,36,25,26,23
20,18,24,25,38,25,28,22
22,23,25,28,37,28,27,21
22,24,24,26,41,29,25,22
23,24,24,25,40,31,23,21
25,25,29,25,41,30,23,23
24,25,28,28,46,30,24,23
22,21,27,27,49,29,25,23
22,24,27,29,44,25,26,22
25,24,26,31,42,25,26,23
23,23,19,33,45,25,26,20
22,24,19,31,38,26,26,22
25,25,19,33,35,23,28,21
25,21,18,30,35,23,27,22
21,23,18,29,37,24,28,25
20,24,21,23,35,23,32,25
19,24,23,26,42,21,30,23
19,24,25,24,43,21,28,24
19,25,25,26,42,29,28,23
20,25,26,29,45,28,27,21
22,23,26,30,43,28,22,22
22,23,26,28,35,29,24,23
21,22,25,30,38,29,24,24
20,21,25,28,42,24,23,24
19,18,25,27,37,21,23,23
17,22,23,25,40,24,22,21
16,21,22,32,39,24,22,21
16,22,23,31,39,26,20,21
15,24,24,32,41,27,20,21
16,27,25,34,42,29,19,21
19,28,24,33,42,27,20,22
19,28,24,30,43,27,19,25
19,28,22,31,42,26,20,24
22,26,24,31,37,23,22,24
21,23,22,29,35,21,24,28
19,19,25,32,32,23,24,27
21,24,25,31,30,28,23,25
23,23,25,27,29,27,22,24
22,27,24,28,38,30,22,23
24,27,27,33,38,30,22,19
23,29,25,31,38,29,24,20
23,27,24,32,44,24,25,25
23,27,24,33,43,26,29,24
21,23,23,34,38,26,29,23
21,24,21,28,39,27,32,24
21,24,22,29,42,28,30,27
20,24,22,30,36,28,31,22
21,24,20,31,34,27,28,23
22,25,21,34,37,23,28,25
20,26,20,35,34,22,25,24
20,26,20,36,35,25,24,20
20,27,21,36,37,26,23,20
18,27,24,35,37,27,24,21
19,26,24,34,36,29,24,21
20,24,28,34,37,29,23,20
21,26,27,31,34,27,24,22
21,23,26,28,37,26,25,23
20,26,25,37,40,30,23,23
24,25,24,36,38,30,22,23
24,27,19,35,41,33,23,24
23,23,19,35,41,31,22,22
24,24,19,36,38,32,20,21
25,23,18,28,34,30,24,22
21,23,20,26,35,29,23,22
22,23,19,26,32,26,25,21
23,23,19,27,36,28,25,23
22,23,19,30,36,27,25,24
23,21,20,28,36,26,22,23
22,27,23,29,37,25,24,22
20,25,23,30,36,25,22,22
18,25,23,32,34,23,24,19
20,27,25,30,38,24,25,19
18,27,25,29,42,22,27,18
18,25,21,29,41,28,25,23
19,28,23,27,40,29,26,24
20,29,25,26,38,28,26,24
20,27,24,22,41,28,26,25
20,28,25,21,36,30,24,25
22,26,26,24,43,28,29,24
21,27,27,26,63,45,31,24
22,25,28,30,70,61,37,26
27,26,28,36,71,64,48,30
28,26,29,38,73,67,49,30
45,27,39,40,88,91,54,52
59,32,48,44,94,110,64,66
61,41,50,51,122,128,74,70
62,41,55,55,135,149,82,74
84,42,60,78,194,196,103,97
149,62,88,108,254,265,143,134
183,73,97,137,311,290,155,183
193,73,105,139,326,424,179,187
204,82,136,162,414,625,218,193
23,20,29,32,49,28,22,21
23,19,29,33,47,27,25,22
20,21,26,34,46,30,26,23
23,22,23,33,42,28,26,23
20,21,23,31,38,25,26,21
22,23,21,28,35,25,25,20
21,23,21,27,36,28,23,20
21,23,22,28,35,24,21,20
21,23,23,27,34,25,24,21
23,24,26,28,31,28,23,22
22,21,25,28,31,28,20,23
21,21,22,27,31,26,22,25
21,20,23,25,32,28,25,24
20,20,24,27,36,27,26,22
18,17,21,27,36,25,26,23
20,18,24,25,38,25,28,22
22,23,25,28,37,28,27,21
22,24,24,26,41,29,25,22
23,24,24,25,40,31,23,21
25,25,29,25,41,30,23,23
24,25,28,28,46,30,24,23
22,21,27,27,49,29,25,23
22,24,27,29,44,25,26,22
25,24,26,31,42,25,26,23
23,23,19,33,45,25,26,20
22,24,19,31,38,26,26,22
25,25,19,33,35,23,28,21
25,21,18,30,35,23,27,22
21,23,18,29,37,24,28,25
20,24,21,23,35,23,32,25
19,24,23,26,42,21,30,23
19,24,25,24,43,21,28,24
19,25,25,26,42,29,28,23
20,25,26,29,45,28,27,21
22,23,26,30,43,28,22,22
22,23,26,28,35,29,24,23
21,22,25,30,38,29,24,24
20,21,25,28,42,24,23,24
19,18,25,27,37,21,23,23
17,22,23,25,40,24,22,21
16,21,22,32,39,24,22,21
16,22,23,31,39,26,20,21
15,24,24,32,41,27,20,21
16,27,25,34,42,29,19,21
19,28,24,33,42,27,20,22
19,28,24,30,43,27,19,25
19,28,22,31,42,26,20,24
22,26,24,31,37,23,22,24
21,23,22,29,35,21,24,28
19,19,25,32,32,23,24,27
21,24,25,31,30,28,23,25
23,23,25,27,29,27,22,24
22,27,24,28,38,30,22,23
24,27,27,33,38,30,22,19
23,29,25,31,38,29,24,20
23,27,24,32,44,24,25,25
23,27,24,33,43,26,29,24
21,23,23,34,38,26,29,23
21,24,21,28,39,27,32,24
21,24,22,29,42,28,30,27
20,24,22,30,36,28,31,22
21,24,20,31,34,27,28,23
22,25,21,34,37,23,28,25
20,26,20,35,34,22,25,24
20,26,20,36,35,25,24,20
20,27,21,36,37,26,23,20
18,27,24,35,37,27,24,21
19,26,24,34,36,29,24,21
20,24,28,34,37,29,23,20
21,26,27,31,34,27,24,22
21,23,26,28,37,26,25,23
20,26,25,37,40,30,23,23
24,25,24,36,38,30,22,23
24,27,19,35,41,33,23,24
23,23,19,35,41,31,22,22
24,24,19,36,38,32,20,21
25,23,18,28,34,30,24,22
21,23,20,26,35,29,23,22
22,23,19,26,32,26,25,21
23,23,19,27,36,28,25,23
22,23,19,30,36,27,25,24
23,21,20,28,36,26,22,23
22,27,23,29,37,25,24,22
20,25,23,30,36,25,22,22
18,25,23,32,34,23,24,19
20,27,25,30,38,24,25,19
18,27,25,29,42,22,27,18
18,25,21,29,41,28,25,23
19,28,23,27,40,29,26,24
20,29,25,26,38,28,26,24
20,27,24,22,41,28,26,25
20,28,25,21,36,30,24,25
22,26,26,24,43,28,29,24
21,27,27,26,63,45,31,24
22,25,28,30,70,61,37,26
27,26,28,36,71,64,48,30
28,26,29,38,73,67,49,30
45,27,39,40,88,91,54,52
59,32,48,44,94,110,64,66
61,41,50,51,122,128,74,70
62,41,55,55,135,149,82,74
84,42,60,78,194,196,103,97
149,62,88,108,254,265,143,134
183,73,97,137,311,290,155,183
193,73,105,139,326,424,179,187
204,82,136,162,414,625,218,193
23,20,29,32,49,28,22,21
23,19,29,33,47,27,25,22
20,21,26,34,46,30,26,23
23,22,23,33,42,28,26,23
20,21,23,31,38,25,26,21
22,23,21,28,35,25,25,20
21,23,21,27,36,28,23,20
21,23,22,28,35,24,21,20
21,23,23,27,34,25,24,21
23,24,26,28,31,28,23,22
22,21,25,28,31,28,20,23
21,21,22,27,31,26,22,25
21,20,23,25,32,28,25,24
20,20,24,27,36,27,26,22
18,17,21,27,36,25,26,23
20,18,24,25,38,25,28,22
22,23,25,28,37,28,27,21
22,24,24,26,41,29,25,22
23,24,24,25,40,31,23,21
25,25,29,25,41,30,23,23
24,25,28,28,46,30,24,23
22,21,27,27,49,29,25,23
22,24,27,29,44,25,26,22
25,24,26,31,42,25,26,23
23,23,19,33,45,25,26,20
22,24,19,31,38,26,26,22
25,25,19,33,35,23,28,21
25,21,18,30,35,23,27,22
21,23,18,29,37,24,28,25
20,24,21,23,35,23,32,25
19,24,23,26,42,21,30,23
19,24,25,24,43,21,28,24
19,25,25,26,42,29,28,23
20,25,26,29,45,28,27,21
22,23,26,30,43,28,22,22
22,23,26,28,35,29,24,23
21,22,25,30,38,29,24,24
20,21,25,28,42,24,23,24
19,18,25,27,37,21,23,23
17,22,23,25,40,24,22,21
16,21,22,32,39,24,22,21
16,22,23,31,39,26,20,21
15,24,24,32,41,27,20,21
16,27,25,34,42,29,19,21
19,28,24,33,42,27,20,22
19,28,24,30,43,27,19,25
19,28,22,31,42,26,20,24
22,26,24,31,37,23,22,24
21,23,22,29,35,21,24,28
19,19,25,32,32,23,24,27
21,24,25,31,30,28,23,25
23,23,25,27,29,27,22,24
22,27,24,28,38,30,22,23
24,27,27,33,38,30,22,19
23,29,25,31,38,29,24,20
23,27,24,32,44,24,25,25
23,27,24,33,43,26,29,24
21,23,23,34,38,26,29,23
21,24,21,28,39,27,32,24
21,24,22,29,42,28,30,27
20,24,22,30,36,28,31,22
21,24,20,31,34,27,28,23
22,25,21,34,37,23,28,25
20,26,20,35,34,22,25,24
20,26,20,36,35,25,24,20
20,27,21,36,37,26,23,20
18,27,24,35,37,27,24,21
19,26,24,34,36,29,24,21
20,24,28,34,37,29,23,20
21,26,27,31,34,27,24,22
21,23,26,28,37,26,25,23
20,26,25,37,40,30,23,23
24,25,24,36,38,30,22,23
24,27,19,35,41,33,23,24
23,23,19,35,41,31,22,22
24,24,19,36,38,32,20,21
25,23,18,28,34,30,24,22
21,23,20,26,35,29,23,22
22,23,19,26,32,26,25,21
23,23,19,27,36,28,25,23
22,23,19,30,36,27,25,24
23,21,20,28,36,26,22,23
22,27,23,29,37,25,24,22
20,25,23,30,36,25,22,22
18,25,23,32,34,23,24,19
20,27,25,30,38,24,25,19
18,27,25,29,42,22,27,18
18,25,21,29,41,28,25,23
19,28,23,27,40,29,26,24
20,29,25,26,38,28,26,24
20,27,24,22,41,28,26,25
20,28,25,21,36,30,24,25
22,26,26,24,43,28,29,24
21,27,27,26,63,45,31,24
22,25,28,30,70,61,37,26
27,26,28,36,71,64,48,30
28,26,29,38,73,67,49,30
45,27,39,40,88,91,54,52
59,32,48,44,94,110,64,66
61,41,50,51,122,128,74,70
62,41,55,55,135,149,82,74
84,42,60,78,194,196,103,97
149,62,88,108,254,265,143,134
183,73,97,137,311,290,155,183
193,73,105,139,326,424,179,187
204,82,136,162,414,625,218,193
241,90,145,169,435,714,306,265
23,20,29,32,49,28,22,21
23,19,29,33,47,27,25,22
20,21,26,34,46,30,26,23
23,22,23,33,42,28,26,23
20,21,23,31,38,25,26,21
22,23,21,28,35,25,25,20
21,23,21,27,36,28,23,20
21,23,22,28,35,24,21,20
21,23,23,27,34,25,24,21
23,24,26,28,31,28,23,22
22,21,25,28,31,28,20,23
21,21,22,27,31,26,22,25
21,20,23,25,32,28,25,24
20,20,24,27,36,27,26,22
18,17,21,27,36,25,26,23
20,18,24,25,38,25,28,22
22,23,25,28,37,28,27,21
22,24,24,26,41,29,25,22
23,24,24,25,40,31,23,21
25,25,29,25,41,30,23,23
24,25,28,28,46,30,24,23
22,21,27,27,49,29,25,23
22,24,27,29,44,25,26,22
25,24,26,31,42,25,26,23
23,23,19,33,45,25,26,20
22,24,19,31,38,26,26,22
25,25,19,33,35,23,28,21
25,21,18,30,35,23,27,22
21,23,18,29,37,24,28,25
20,24,21,23,35,23,32,25
19,24,23,26,42,21,30,23
19,24,25,24,43,21,28,24
19,25,25,26,42,29,28,23
20,25,26,29,45,28,27,21
22,23,26,30,43,28,22,22
22,23,26,28,35,29,24,23
21,22,25,30,38,29,24,24
20,21,25,28,42,24,23,24
19,18,25,27,37,21,23,23
17,22,23,25,40,24,22,21
16,21,22,32,39,24,22,21
16,22,23,31,39,26,20,21
15,24,24,32,41,27,20,21
16,27,25,34,42,29,19,21
19,28,24,33,42,27,20,22
19,28,24,30,43,27,19,25
19,28,22,31,42,26,20,24
22,26,24,31,37,23,22,24
21,23,22,29,35,21,24,28
19,19,25,32,32,23,24,27
21,24,25,31,30,28,23,25
23,23,25,27,29,27,22,24
22,27,24,28,38,30,22,23
24,27,27,33,38,30,22,19
23,29,25,31,38,29,24,20
23,27,24,32,44,24,25,25
23,27,24,33,43,26,29,24
21,23,23,34,38,26,29,23
21,24,21,28,39,27,32,24
21,24,22,29,42,28,30,27
20,24,22,30,36,28,31,22
21,24,20,31,34,27,28,23
22,25,21,34,37,23,28,25
20,26,20,35,34,22,25,24
20,26,20,36,35,25,24,20
20,27,21,36,37,26,23,20
18,27,24,35,37,27,24,21
19,26,24,34,36,29,24,21
20,24,28,34,37,29,23,20
21,26,27,31,34,27,24,22
21,23,26,28,37,26,25,23
20,26,25,37,40,30,23,23
24,25,24,36,38,30,22,23
24,27,19,35,41,33,23,24
23,23,19,35,41,31,22,22
24,24,19,36,38,32,20,21
25,23,18,28,34,30,24,22
21,23,20,26,35,29,23,22
22,23,19,26,32,26,25,21
23,23,19,27,36,28,25,23
22,23,19,30,36,27,25,24
23,21,20,28,36,26,22,23
22,27,23,29,37,25,24,22
20,25,23,30,36,25,22,22
18,25,23,32,34,23,24,19
20,27,25,30,38,24,25,19
18,27,25,29,42,22,27,18
18,25,21,29,41,28,25,23
19,28,23,27,40,29,26,24
20,29,25,26,38,28,26,24
20,27,24,22,41,28,26,25
20,28,25,21,36,30,24,25
22,26,26,24,43,28,29,24
21,27,27,26,63,45,31,24
22,25,28,30,70,61,37,26
27,26,28,36,71,64,48,30
28,26,29,38,73,67,49,30
45,27,39,40,88,91,54,52
59,32,48,44,94,110,64,66
61,41,50,51,122,128,74,70
62,41,55,55,135,149,82,74
84,42,60,78,194,196,103,97
149,62,88,108,254,265,143,134
183,73,97,137,311,290,155,183
193,73,105,139,326,424,179,187
204,82,136,162,414,625,218,193
241,90,145,169,435,714,306,265
23,20,29,32,49,28,22,21
23,19,29,33,47,27,25,22
20,21,26,34,46,30,26,23
23,22,23,33,42,28,26,23
20,21,23,31,38,25,26,21
22,23,21,28,35,25,25,20
21,23,21,27,36,28,23,20
21,23,22,28,35,24,21,20
21,23,23,27,34,25,24,21
23,24,26,28,31,28,23,22
22,21,25,28,31,28,20,23
21,21,22,27,31,26,22,25
21,20,23,25,32,28,25,24
20,20,24,27,36,27,26,22
18,17,21,27,36,25,26,23
20,18,24,25,38,25,28,22
22,23,25,28,37,28,27,21
22,24,24,26,41,29,25,22
23,24,24,25,40,31,23,21
25,25,29,25,41,30,23,23
24,25,28,28,46,30,24,23
22,21,27,27,49,29,25,23
22,24,27,29,44,25,26,22
25,24,26,31,42,25,26,23
23,23,19,33,45,25,26,20
22,24,19,31,38,26,26,22
25,25,19,33,35,23,28,21
25,21,18,30,35,23,27,22
21,23,18,29,37,24,28,25
20,24,21,23,35,23,32,25
19,24,23,26,42,21,30,23
19,24,25,24,43,21,28,24
19,25,25,26,42,29,28,23
20,25,26,29,45,28,27,21
22,23,26,30,43,28,22,22
22,23,26,28,35,29,24,23
21,22,25,30,38,29,24,24
20,21,25,28,42,24,23,24
19,18,25,27,37,21,23,23
17,22,23,25,40,24,22,21
16,21,22,32,39,24,22,21
16,22,23,31,39,26,20,21
15,24,24,32,41,27,20,21
16,27,25,34,42,29,19,21
19,28,24,33,42,27,20,22
19,28,24,30,43,27,19,25
19,28,22,31,42,26,20,24
22,26,24,31,37,23,22,24
21,23,22,29,35,21,24,28
19,19,25,32,32,23,24,27
21,24,25,31,30,28,23,25
23,23,25,27,29,27,22,24
22,27,24,28,38,30,22,23
24,27,27,33,38,30,22,19
23,29,25,31,38,29,24,20
23,27,24,32,44,24,25,25
23,27,24,33,43,26,29,24
21,23,23,34,38,26,29,23
21,24,21,28,39,27,32,24
21,24,22,29,42,28,30,27
20,24,22,30,36,28,31,22
21,24,20,31,34,27,28,23
22,25,21,34,37,23,28,25
20,26,20,35,34,22,25,24
20,26,20,36,35,25,24,20
20,27,21,36,37,26,23,20
18,27,24,35,37,27,24,21
19,26,24,34,36,29,24,21
20,24,28,34,37,29,23,20
21,26,27,31,34,27,24,22
21,23,26,28,37,26,25,23
20,26,25,37,40,30,23,23
24,25,24,36,38,30,22,23
24,27,19,35,41,33,23,24
23,23,19,35,41,31,22,22
24,24,19,36,38,32,20,21
25,23,18,28,34,30,24,22
21,23,20,26,35,29,23,22
22,23,19,26,32,26,25,21
23,23,19,27,36,28,25,23
22,23,19,30,36,27,25,24
23,21,20,28,36,26,22,23
22,27,23,29,37,25,24,22
20,25,23,30,36,25,22,22
18,25,23,32,34,23,24,19
20,27,25,30,38,24,25,19
18,27,25,29,42,22,27,18
